CLAUSE #,P OR C,IBR,FILL-IN,$$,UCF,FP SUP,CR SUP,FP R&D,CR R&D,FP SVC,CR SVC,FP CON,CR CON,T&M LH,LMV,COM SVC,DDR,A&E,FAC,IND DEL,TRN,UTL SVC
1.13-1,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,,
1.13-2,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,,
1.13-3,,,,,,,,,,,,,,,,,,,,,,
1.13-4,,,,,,,,,,,,,,,,,,,,,,
1.13-5,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,,
1.13-6,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,,
1.13-7,C,,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A
3.1-1,C,,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.1.7-1,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.7-2,C,X,,,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R
3.1.7-3,,,,,,,,,,,,,,,,,,,,,,
3.1.7-4,P,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.7-5,P,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.7-6,C,,X,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.8-1,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.8-2,C,X,,X,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.1.9-1,C,,X,,H,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.1.3-1,P,,,,L,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
3.2.1.3-2,C,,X,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.1.5-1,C,,X,,I,A,A,,,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.1.5-2,C,,X,,I,A,A,,,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.1.5-3,C,X,,,I,A,A,,,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.1.5-4,C,,X,,I,A,A,,,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-1,P,X,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.3-2,P,,X,,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-3,P,X,,,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-4,P,,X,,L,A,,,,A,,,,,A,,,,,A,,
3.2.2.3-5,P,,X,,L,A,,,,A,,,,,A,,,,,A,,
3.2.2.3-6,P,X,,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-7,P,X,,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-8,C,X,,,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-9,P,X,,,L,A,A,,,,,,,,,,,,,A,,
3.2.2.3-10,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-11,P,X,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.3-12,P,X,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.3-13,P,X,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
3.2.2.3-14,P,X,,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-15,P,X,,,L,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
3.2.2.3-16,P,X,,,L,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
